court,judge_name,case_type,sections_involved,num_hearings,petitioner_type,respondent_type,outcome,case_duration_days,filing_year,filing_month,description_length,word_count
1,9,4,3,19,0,2,0,769,2017,8,251,35
0,6,0,9,28,1,0,0,973,2021,9,247,34
3,7,3,8,14,1,0,1,671,2021,2,224,32
2,17,0,2,39,3,0,0,71,2021,10,229,33
1,20,0,2,2,0,3,0,135,2014,10,248,34
2,12,4,6,11,0,0,1,502,2023,5,246,35
1,47,0,7,35,3,2,0,685,2023,4,237,33
2,33,4,7,36,1,1,1,912,2021,10,244,34
1,27,2,7,35,0,3,0,430,2019,4,253,33
1,27,2,1,3,0,0,1,219,2017,12,263,34
1,16,2,8,19,0,1,0,181,2015,9,240,31
1,20,0,4,12,3,3,1,688,2013,8,247,34
3,40,0,4,3,0,1,0,1098,2023,7,237,33
3,21,3,9,17,1,3,0,104,2015,4,245,33
2,15,2,7,2,1,1,0,39,2016,10,241,32
1,30,3,5,14,3,2,1,41,2017,11,250,34
3,48,0,7,23,0,1,0,614,2020,6,248,35
0,7,2,2,33,1,3,1,371,2015,12,238,31
2,0,2,9,4,1,0,0,912,2015,5,252,35
0,52,1,3,18,1,1,1,892,2016,8,268,36
2,43,1,4,17,3,0,0,567,2016,8,279,38
2,8,2,3,30,1,0,0,74,2013,8,252,35
0,38,2,7,10,0,0,1,640,2017,4,238,31
0,39,3,3,35,1,3,1,420,2019,1,239,34
3,43,0,3,11,0,1,0,924,2017,12,233,34
1,48,4,3,20,2,1,1,809,2016,11,243,34
3,26,0,8,32,3,0,1,1055,2023,1,241,34
1,49,1,9,15,0,3,0,424,2015,11,279,38
0,7,4,3,30,1,2,1,375,2022,4,251,35
2,12,1,6,1,2,2,1,542,2019,9,265,35
2,10,4,7,38,2,0,0,912,2020,3,246,35
3,44,1,2,29,3,2,0,565,2016,1,270,36
3,30,2,9,6,2,2,0,389,2023,8,245,35
3,52,1,1,38,3,1,1,1001,2018,3,265,34
1,50,3,9,34,1,0,1,448,2018,7,239,34
2,18,4,9,10,0,1,0,967,2015,9,236,33
3,35,1,1,15,0,2,0,713,2018,4,268,35
0,4,1,3,37,2,3,1,98,2020,6,268,36
2,0,2,5,15,0,1,0,557,2023,4,248,32
3,1,4,5,39,0,3,1,770,2022,5,243,34
3,7,4,7,11,2,1,0,1009,2014,9,241,35
1,11,3,8,26,3,0,0,610,2013,11,248,34
3,3,3,8,8,3,0,0,45,2023,6,250,35
3,10,3,3,25,2,0,1,409,2022,1,239,34
0,48,3,4,33,1,0,1,1066,2014,8,248,34
0,13,3,8,33,3,0,1,557,2022,5,259,35
1,12,1,8,17,2,0,0,441,2021,5,268,36
3,5,0,6,38,2,2,0,971,2023,8,233,34
3,39,1,5,17,0,2,1,476,2014,10,268,36
3,38,4,7,25,1,2,0,857,2022,2,244,35
0,32,1,9,35,1,2,1,52,2017,1,270,36
2,35,0,7,1,3,3,0,637,2019,1,233,34
1,17,3,9,28,3,0,0,55,2015,11,245,33
1,20,3,1,30,1,2,1,217,2013,10,234,32
3,40,1,8,17,2,3,0,612,2020,8,267,35
0,2,3,2,12,2,2,0,691,2013,10,248,35
0,20,3,6,29,3,2,0,156,2018,2,248,34
2,16,2,3,20,3,2,1,562,2015,3,263,34
3,1,0,3,5,2,0,0,464,2023,2,248,34
1,35,4,1,25,3,0,0,508,2017,12,235,33
2,2,3,3,38,0,3,1,897,2015,1,233,33
3,52,4,6,15,2,2,1,1039,2023,7,243,34
2,43,0,1,31,1,0,1,110,2020,7,249,35
2,26,3,7,5,1,2,0,1092,2014,12,248,34
2,41,3,6,3,2,0,0,84,2016,11,233,33
1,32,1,8,22,1,1,0,1047,2018,12,265,35
2,8,0,5,10,2,2,0,688,2021,7,243,33
3,17,3,8,19,1,3,1,820,2023,12,224,32
0,31,4,7,15,3,3,0,290,2022,3,248,34
1,13,4,3,39,0,3,1,670,2013,2,251,35
2,19,1,6,15,2,3,0,663,2018,3,271,37
1,48,0,4,4,3,0,0,371,2013,7,248,35
2,41,3,6,10,2,0,1,568,2016,4,250,35
3,37,4,6,34,0,0,0,1043,2015,12,243,34
1,19,4,5,19,2,2,0,145,2015,12,244,35
1,21,4,3,20,0,2,1,517,2015,6,246,36
2,28,4,3,33,2,1,1,390,2017,5,246,35
2,22,2,2,9,1,0,1,245,2018,6,233,31
2,36,2,1,33,2,2,1,542,2023,6,248,32
2,52,2,5,12,2,1,0,148,2017,8,270,35
0,5,2,6,31,3,3,0,159,2013,4,252,35
3,38,3,4,1,2,3,0,924,2019,6,230,33
3,22,2,9,16,0,0,0,371,2016,4,241,32
1,40,3,1,22,3,0,1,381,2014,8,250,35
3,15,2,7,20,0,1,0,736,2020,5,238,31
0,35,3,5,37,0,3,1,849,2020,7,239,33
2,2,1,3,14,1,1,1,956,2016,11,278,37
2,47,0,5,30,1,1,1,701,2015,5,248,34
0,38,4,5,35,3,0,1,313,2018,5,249,34
1,12,2,2,12,3,3,1,333,2017,12,248,33
2,41,0,7,29,1,0,1,786,2023,8,229,33
3,17,1,1,14,3,2,1,940,2013,5,271,37
0,48,1,1,18,2,2,1,1013,2014,12,267,35
0,29,4,5,12,3,0,1,934,2021,10,236,33
3,51,2,9,14,1,2,0,700,2023,6,252,35
3,28,4,6,5,1,2,1,213,2019,11,233,33
3,22,1,1,31,3,1,1,475,2016,6,271,37
1,32,0,5,7,2,0,0,160,2015,4,233,34
3,28,2,8,29,1,0,1,499,2022,4,248,32
0,14,3,5,28,2,0,1,672,2019,8,248,34
0,13,2,7,35,3,1,0,751,2017,6,250,35
3,35,1,1,23,2,3,1,279,2017,10,265,34
2,4,3,1,6,2,2,0,774,2014,8,244,34
1,49,0,3,12,0,3,1,385,2022,1,243,33
2,52,4,2,31,1,2,1,774,2013,7,244,34
1,37,2,5,11,0,3,1,1032,2023,10,240,31
1,43,3,8,32,1,0,0,339,2014,11,259,35
3,22,2,3,29,3,3,1,217,2014,5,248,33
3,33,4,3,25,2,1,0,1065,2013,10,236,33
1,48,2,5,4,3,0,0,533,2018,5,245,35
1,0,4,6,22,1,2,0,277,2013,8,248,34
0,9,1,1,9,1,1,1,345,2015,11,262,34
3,43,3,1,39,1,2,1,530,2021,10,239,33
3,43,4,7,14,1,1,0,402,2021,3,241,35
2,6,2,9,18,0,2,1,998,2016,10,252,35
2,9,2,7,35,1,1,1,425,2013,5,241,32
0,29,2,3,2,2,1,1,535,2014,9,270,35
1,38,4,9,32,2,1,0,308,2018,12,244,35
2,52,2,5,12,1,3,1,785,2018,2,241,32
2,22,4,4,4,3,2,1,846,2022,6,251,35
1,36,0,7,8,2,0,1,633,2018,4,233,34
1,21,2,8,22,2,0,0,898,2017,4,241,32
0,6,3,1,9,0,3,0,323,2019,11,230,33
2,44,0,5,33,1,2,1,607,2022,3,242,34
0,41,3,2,3,3,2,1,810,2021,12,239,33
0,12,4,3,22,2,0,1,992,2014,8,248,34
1,7,4,6,2,3,0,0,380,2017,8,235,33
2,51,3,8,19,3,3,1,176,2023,2,257,35
0,45,0,1,29,1,2,1,867,2021,11,241,34
0,42,1,7,35,1,0,1,572,2021,9,273,36
1,29,3,5,34,3,0,1,89,2014,4,239,33
1,48,1,2,29,2,2,0,916,2017,4,267,35
0,26,2,2,34,3,0,1,563,2022,2,240,31
1,39,3,6,20,3,3,0,694,2014,6,233,33
1,35,0,2,35,3,0,1,414,2020,11,228,33
1,49,0,2,7,3,2,0,1083,2018,9,229,33
1,38,2,9,18,2,0,0,490,2021,1,248,32
0,11,0,2,7,0,0,0,667,2020,5,234,34
1,35,3,7,6,1,0,0,603,2014,1,239,34
1,20,4,9,10,1,2,1,1057,2014,6,238,34
0,38,0,1,29,3,3,0,684,2016,9,244,34
1,52,2,1,23,2,3,1,135,2023,4,255,33
2,47,0,8,22,3,2,1,947,2023,4,244,34
3,25,4,1,22,0,0,1,75,2021,5,233,33
2,20,2,9,17,0,0,1,592,2015,8,233,31
0,50,4,8,25,1,0,0,411,2023,6,241,34
1,23,2,8,7,3,1,0,545,2020,11,240,31
2,22,1,4,8,2,3,0,930,2016,4,265,34
2,37,4,9,12,1,2,0,146,2020,10,246,35
3,36,2,3,21,0,1,1,84,2017,10,263,34
1,41,0,4,25,1,0,0,994,2018,4,241,34
1,22,1,1,24,0,3,1,299,2015,8,278,37
0,39,1,9,6,2,0,0,503,2020,1,278,37
2,22,3,8,34,1,3,1,1083,2016,1,248,35
0,27,1,1,29,1,1,1,805,2023,2,265,34
1,38,4,2,11,0,2,1,715,2014,8,246,34
0,26,0,2,7,2,2,1,37,2015,10,248,35
2,45,4,3,11,3,0,0,450,2014,5,241,34
3,24,2,5,38,0,3,0,586,2015,8,248,33
2,20,0,6,39,3,0,0,113,2020,5,244,34
0,40,3,9,17,0,1,1,722,2023,5,245,33
0,26,4,8,3,1,1,1,838,2014,9,241,35
1,0,2,7,14,3,0,0,423,2015,6,238,31
2,43,0,4,20,1,0,1,1020,2014,6,244,34
1,42,0,3,38,1,0,1,1029,2021,11,237,33
3,43,4,5,37,0,1,1,823,2018,11,236,33
3,38,0,8,28,2,0,0,366,2016,12,243,33
3,20,2,9,22,0,3,0,154,2020,9,255,33
2,8,4,2,20,0,0,1,775,2013,12,249,34
0,20,0,6,23,1,0,0,599,2021,7,229,33
2,0,0,5,4,0,1,0,797,2014,1,241,34
0,14,4,6,11,0,0,0,460,2019,5,246,35
1,11,4,9,23,2,0,0,193,2013,5,251,35
0,3,1,5,29,3,3,0,997,2015,3,279,38
0,22,3,4,17,2,0,0,1060,2019,11,245,33
3,38,0,9,38,1,3,0,845,2019,4,244,34
1,50,4,1,30,1,2,1,55,2017,12,246,36
1,46,2,1,19,0,0,1,888,2019,11,263,34
0,7,4,2,39,2,0,0,1095,2022,3,249,34
2,33,2,8,34,0,3,1,472,2015,11,240,31
2,47,1,9,20,0,1,0,567,2023,9,268,35
0,24,1,2,2,3,3,0,56,2014,8,271,37
3,8,3,8,23,3,0,0,673,2023,10,250,34
0,43,2,7,33,0,0,1,842,2023,3,270,35
3,3,0,3,35,1,3,1,245,2017,9,242,34
2,40,0,9,38,2,2,0,707,2014,1,233,34
1,50,4,6,3,0,2,1,309,2017,6,241,35
0,29,3,4,34,2,1,0,181,2016,1,245,33
1,28,0,9,16,0,3,1,54,2019,5,237,33
2,39,2,3,4,3,1,0,839,2015,7,267,37
2,0,3,6,17,2,2,1,256,2013,9,233,33
3,46,3,9,25,0,1,0,189,2022,10,225,31
0,38,1,1,25,0,0,1,1059,2022,7,268,35
1,2,1,8,3,1,2,0,821,2018,7,267,35
1,12,2,6,5,1,3,0,304,2022,5,267,37
2,4,4,8,3,3,1,0,793,2023,7,246,35
3,35,4,9,4,1,3,0,564,2023,2,236,33
2,11,4,8,4,0,3,0,38,2022,2,251,35
3,43,1,4,8,3,1,1,319,2013,6,279,38
2,7,1,9,6,1,0,0,859,2021,4,262,34
1,20,0,9,30,0,2,1,799,2023,2,244,34
1,22,1,5,21,1,2,0,466,2014,12,273,36
3,16,2,4,23,0,1,0,1085,2013,9,252,35
2,35,4,2,30,2,1,1,572,2016,10,235,33
1,50,0,5,24,2,3,1,43,2022,1,229,33
1,8,4,8,7,0,2,0,1062,2022,1,233,33
1,35,1,8,35,1,3,0,54,2019,6,278,37
2,31,0,3,1,2,2,1,1014,2023,10,229,33
3,17,4,4,12,0,0,0,110,2014,10,243,35
1,9,1,8,17,2,2,1,439,2022,8,273,36
1,8,1,4,9,3,2,1,87,2022,7,267,35
1,34,0,3,17,3,0,0,789,2023,6,244,34
3,9,0,2,7,3,3,1,358,2016,3,229,33
1,50,0,2,18,0,1,1,579,2020,1,233,34
1,26,3,5,5,3,2,0,233,2016,1,245,33
1,27,3,4,22,2,2,0,909,2018,4,239,33
1,44,1,1,22,0,1,0,524,2023,7,279,38
2,11,2,7,38,3,1,0,372,2018,8,252,35
0,14,4,6,7,1,0,1,54,2021,6,243,34
2,44,2,5,12,3,3,0,533,2018,1,263,34
2,33,1,7,25,1,0,1,806,2013,1,270,36
2,52,4,2,23,1,0,1,150,2014,9,246,35
1,11,1,6,24,0,0,1,574,2020,5,265,35
3,29,1,6,33,0,3,1,1021,2016,5,265,35
0,36,3,9,20,2,3,0,957,2016,6,248,34
3,12,1,4,17,3,2,0,993,2013,12,268,35
1,32,0,6,14,0,1,0,989,2022,1,228,33
3,10,0,7,1,2,3,0,325,2013,12,244,34
2,41,4,5,16,1,1,1,200,2018,11,241,34
0,44,0,3,14,1,2,1,653,2016,6,241,34
3,29,1,5,29,3,2,1,796,2022,12,268,35
0,18,0,4,28,2,1,1,434,2020,4,229,33
3,4,2,1,11,3,2,1,278,2013,10,248,32
1,30,4,5,8,3,1,0,196,2019,10,244,35
2,43,1,2,27,2,3,0,575,2014,10,279,38
3,19,0,3,26,3,0,1,78,2019,2,233,34
2,7,0,1,12,1,0,0,762,2015,9,248,34
3,34,2,9,3,3,2,0,910,2021,3,246,32
0,3,0,8,19,2,3,0,917,2018,3,228,33
3,19,3,4,27,3,2,0,339,2017,8,248,34
1,43,4,6,9,1,2,0,136,2022,8,238,34
3,22,1,7,20,3,3,1,581,2017,11,265,35
2,1,4,8,36,0,1,0,822,2015,8,241,35
1,14,4,7,28,0,2,0,995,2018,9,241,34
2,13,2,4,34,1,3,1,158,2021,11,248,32
3,45,4,1,2,1,1,0,51,2013,9,246,34
0,5,0,9,37,3,1,0,181,2016,2,232,34
3,49,3,1,38,3,2,1,615,2019,5,225,31
3,31,3,7,26,0,2,0,207,2015,8,244,34
1,22,4,3,23,2,1,0,1052,2021,4,246,35
2,1,2,5,7,3,3,0,400,2013,8,233,31
3,5,3,9,27,2,2,1,895,2015,11,239,33
1,38,3,5,25,3,1,1,378,2019,6,250,34
2,38,4,3,32,1,0,1,264,2022,5,241,35
3,4,4,9,8,3,1,0,121,2016,11,244,34
3,48,0,1,2,1,1,0,244,2015,12,234,34
1,42,3,3,19,0,3,0,833,2023,3,250,35
3,8,1,7,7,0,3,0,845,2018,8,279,38
2,41,3,2,35,3,0,1,744,2015,3,250,34
2,16,2,9,7,2,3,0,115,2022,8,241,32
1,16,2,1,8,2,1,0,373,2013,4,238,31
0,22,4,2,7,3,3,0,671,2021,2,235,33
2,17,2,1,35,1,0,1,1032,2022,12,240,31
2,42,4,4,4,0,2,1,280,2019,5,241,34
0,49,3,7,19,1,2,0,229,2023,1,250,34
3,34,3,5,36,3,2,1,928,2019,11,239,34
0,17,3,8,13,1,1,0,530,2019,7,248,34
3,18,4,2,14,1,0,1,435,2014,3,236,33
3,14,2,7,27,3,3,1,440,2014,12,238,31
0,35,3,2,5,3,3,0,474,2020,9,248,34
0,14,2,2,23,0,1,1,548,2020,6,233,31
3,38,3,3,28,2,3,1,880,2019,9,233,33
1,50,3,4,16,2,1,0,767,2015,4,234,32
2,43,0,7,15,1,3,1,124,2013,12,244,34
3,22,4,8,6,3,0,1,171,2013,12,246,35
1,35,3,4,9,3,1,1,673,2014,5,239,34
3,18,2,7,12,0,2,0,927,2015,5,255,33
1,38,0,1,37,2,0,1,1060,2023,9,232,34
3,38,0,2,7,3,0,1,987,2021,7,243,33
2,0,2,6,34,1,3,1,725,2014,12,241,32
0,33,0,9,13,0,0,0,284,2016,5,234,34
1,33,0,5,24,0,3,0,117,2022,11,247,34
1,33,3,7,31,2,3,1,817,2017,12,239,33
1,39,1,5,20,2,0,1,1002,2016,1,273,36
3,13,0,4,38,0,0,1,463,2016,8,229,33
1,29,0,4,4,3,0,1,167,2017,5,237,33
3,47,3,1,26,1,1,1,812,2018,12,250,34
1,4,2,4,19,0,3,1,424,2019,2,240,31
2,15,0,9,21,1,3,0,713,2018,11,243,33
3,11,3,8,17,0,1,0,224,2019,11,248,35
2,36,0,6,33,2,1,1,411,2016,4,243,33
1,11,3,9,20,3,3,0,802,2018,6,233,33
3,38,3,5,33,0,0,1,946,2022,2,244,34
3,24,2,3,16,2,1,0,313,2016,10,245,35
3,10,0,9,2,2,0,0,885,2023,10,229,33
1,9,4,9,21,1,3,1,309,2018,6,246,35
3,39,3,7,39,2,1,0,817,2017,2,257,35
1,6,4,5,23,2,1,1,472,2020,9,246,34
0,12,2,3,37,2,3,1,780,2017,4,270,35
0,20,3,2,4,3,3,1,336,2017,5,242,34
2,29,3,1,27,0,0,1,118,2017,2,250,35
1,18,4,1,9,3,1,0,869,2018,12,246,35
1,48,4,6,2,0,0,0,37,2013,6,249,34
1,43,2,4,18,1,3,1,593,2017,3,270,35
1,5,0,8,26,0,2,1,92,2021,6,249,35
0,50,4,5,36,1,0,1,624,2016,8,251,35
2,23,1,9,22,0,3,1,146,2018,12,265,34
2,48,0,2,37,3,1,1,202,2016,4,233,34
3,8,4,1,23,3,1,0,1084,2023,5,248,34
1,28,0,8,23,1,2,1,1007,2015,6,242,34
0,13,3,6,8,2,3,0,507,2021,7,234,32
0,12,0,1,23,0,3,1,403,2021,5,242,34
0,38,1,3,39,2,2,1,774,2017,6,267,35
1,17,4,2,21,2,0,0,433,2023,10,246,35
1,22,0,5,25,2,1,0,191,2023,11,248,35
3,42,0,5,12,3,2,0,289,2013,4,228,33
3,48,4,1,36,1,0,1,690,2019,4,235,33
1,12,0,3,18,1,2,1,1057,2015,2,248,35
0,16,0,9,16,0,0,1,727,2023,12,241,34
3,2,1,9,23,0,3,0,679,2023,8,279,38
2,15,3,2,27,1,1,1,869,2017,8,244,34
3,46,4,3,34,0,0,1,95,2016,10,238,34
1,38,0,5,22,2,3,1,696,2022,1,243,33
3,10,1,7,14,1,2,0,236,2017,4,265,35
0,27,4,3,13,1,2,0,480,2021,1,246,34
3,13,2,7,9,1,1,0,544,2020,4,246,32
2,7,0,2,11,2,1,0,810,2016,2,242,34
2,39,0,2,6,3,3,1,231,2016,11,243,33
3,48,0,1,31,3,3,1,1051,2023,4,244,34
0,39,4,2,13,2,1,1,677,2018,6,244,35
0,9,3,5,38,1,0,1,402,2017,8,224,32
2,22,0,3,20,1,1,1,359,2022,11,228,33
2,26,3,5,4,1,0,1,138,2019,4,239,34
3,7,3,4,39,0,1,1,404,2019,3,248,34
1,36,0,5,27,0,0,1,155,2017,4,243,33
0,29,1,8,8,0,1,0,871,2020,5,265,35
1,26,4,2,30,3,0,1,879,2013,6,251,35
1,26,3,9,2,3,0,0,591,2015,5,230,33
2,6,4,8,4,0,1,0,1062,2022,1,244,35
3,38,2,3,11,0,0,1,150,2015,11,248,32
3,36,3,7,28,1,3,0,970,2023,10,239,33
2,27,2,3,24,0,1,1,427,2022,10,255,33
1,50,3,9,13,1,1,0,841,2017,3,248,34
0,26,3,1,38,0,2,1,989,2023,2,234,32
1,1,3,7,29,1,3,1,166,2020,11,225,31
0,32,0,6,27,1,2,1,935,2021,11,228,33
1,40,2,7,2,0,0,0,1091,2018,3,255,33
2,2,0,9,31,0,1,1,843,2014,5,237,33
1,38,0,4,6,3,1,1,186,2019,1,244,34
0,25,0,3,25,0,0,1,932,2021,12,247,34
2,6,0,7,11,2,2,0,327,2013,12,244,34
3,26,4,6,38,1,3,1,127,2013,3,241,35
2,48,0,9,38,1,1,0,718,2022,1,233,34
2,26,2,9,23,1,3,0,160,2019,7,240,31
0,51,3,9,20,3,0,0,638,2018,9,250,35
0,23,0,1,27,3,3,0,49,2020,6,249,35
1,48,3,4,35,0,2,1,822,2020,7,248,34
1,16,0,8,39,0,0,0,163,2017,9,244,34
2,14,3,6,37,2,2,1,747,2019,9,242,34
0,19,4,2,22,3,3,0,911,2018,4,235,33
1,48,2,3,5,1,0,0,133,2015,4,233,31
2,45,4,8,10,1,1,0,70,2021,2,249,34
1,23,2,9,15,3,1,0,969,2017,2,245,35
3,19,4,4,38,2,3,1,527,2022,11,249,34
1,7,0,8,14,3,2,1,570,2017,5,228,33
3,39,0,6,22,1,0,0,294,2015,1,234,34
1,36,1,3,29,0,0,1,538,2022,2,270,36
2,21,1,3,32,0,1,1,920,2014,7,265,35
1,6,2,7,10,3,2,0,933,2023,11,253,33
1,18,0,5,16,3,2,0,889,2019,12,232,34
2,49,0,9,35,2,0,0,339,2018,4,242,34
0,14,2,5,38,0,3,0,849,2015,7,255,33
1,22,1,4,23,1,2,0,511,2015,3,265,35
0,38,1,1,31,2,1,1,434,2015,2,265,35
1,7,3,9,20,0,1,0,379,2022,2,239,34
1,12,2,8,25,1,1,1,1020,2015,3,241,32
1,36,4,3,39,0,1,1,215,2013,5,241,34
2,12,0,5,30,0,2,1,988,2015,3,228,33
0,22,0,2,31,2,0,1,1005,2019,9,229,33
2,26,2,9,32,1,0,0,726,2018,3,270,35
0,35,4,8,1,2,0,0,58,2017,2,235,33
3,47,3,7,34,0,3,0,685,2023,8,239,33
3,24,2,3,24,3,0,1,153,2016,10,248,32
1,5,4,6,22,0,3,1,390,2022,2,243,35
1,5,0,3,37,3,2,1,110,2014,5,249,35
3,51,0,2,28,1,3,0,817,2018,12,233,34
1,13,0,8,23,2,0,0,547,2014,6,249,35
1,45,2,6,38,1,3,1,1034,2013,11,263,34
3,38,2,7,23,0,0,0,761,2020,6,233,31
3,36,0,1,23,3,1,1,368,2020,5,244,34
3,49,0,2,5,3,0,1,859,2019,4,234,34
2,11,2,7,1,1,1,1,335,2017,12,245,35
3,19,4,4,16,3,3,1,317,2015,12,246,35
2,43,2,1,1,1,3,0,312,2021,7,246,32
0,36,0,4,23,2,1,0,790,2015,1,241,34
3,7,3,1,31,3,0,1,1081,2018,6,230,33
0,46,0,6,13,1,0,1,943,2023,5,233,34
3,9,3,2,2,2,0,1,608,2020,5,248,34
1,10,1,3,35,2,2,0,41,2022,4,278,37
1,3,3,7,27,3,3,1,1065,2015,3,248,35
1,22,2,3,4,0,2,1,440,2013,4,245,35
1,4,3,7,35,0,2,1,690,2022,2,239,33
0,7,1,5,18,1,0,0,483,2019,3,265,34
1,52,2,6,22,3,0,1,344,2021,7,246,32
0,26,0,9,32,1,3,1,354,2022,4,244,34
1,35,0,2,10,1,3,0,657,2017,2,248,34
1,5,3,9,8,2,2,1,489,2014,3,225,31
2,4,0,3,37,3,3,1,196,2023,8,233,34
0,20,0,4,5,2,1,1,434,2016,5,233,34
3,5,3,6,20,0,0,0,509,2014,10,239,34
3,52,3,2,11,1,0,1,699,2019,4,259,35
1,15,3,9,7,3,0,0,503,2013,3,250,35
1,30,0,3,36,1,3,1,238,2013,8,248,35
0,7,0,1,17,3,0,1,646,2021,5,228,33
0,4,4,1,39,2,3,1,925,2013,12,236,33
2,52,2,1,30,0,3,1,444,2019,8,255,33
0,37,1,4,26,1,0,1,708,2017,12,265,35
2,44,0,3,23,1,0,1,516,2014,3,233,34
2,14,3,4,6,2,0,0,348,2023,5,230,33
0,20,4,8,22,2,0,1,967,2014,10,244,35
2,26,4,3,38,0,3,1,1061,2020,2,246,36
1,52,2,4,2,1,0,0,223,2014,6,270,35
0,35,3,6,33,1,2,0,696,2019,6,248,34
0,13,1,2,17,3,3,1,1017,2014,11,278,37
1,20,0,4,18,1,0,1,605,2022,10,244,34
2,29,4,8,27,1,3,0,606,2018,1,248,34
3,51,0,2,31,0,1,1,1056,2013,2,244,34
3,11,2,5,7,1,2,1,702,2013,7,245,35
3,46,3,5,28,1,0,0,938,2018,12,233,33
0,13,1,1,39,3,0,1,141,2018,9,268,36
1,10,4,1,10,2,3,0,660,2016,8,243,35
3,21,3,9,2,1,1,0,185,2019,8,248,34
1,37,0,2,10,0,2,0,248,2021,10,244,34
2,51,2,5,11,0,0,1,813,2020,12,241,32
3,35,1,3,19,2,2,0,960,2021,3,276,36
1,25,0,6,2,1,2,1,993,2023,5,237,33
3,31,0,7,23,0,0,0,848,2015,4,248,35
1,0,1,8,10,3,2,0,585,2013,11,278,37
3,38,2,7,22,0,2,0,494,2014,5,248,32
0,19,0,9,13,1,0,0,209,2013,5,242,34
1,17,1,7,36,0,3,1,871,2016,3,273,36
1,51,1,1,19,0,0,1,882,2014,7,268,36
3,48,0,1,39,1,1,0,166,2023,2,234,34
2,15,2,4,34,3,2,1,1011,2016,9,238,31
1,32,2,9,29,1,0,1,381,2015,5,255,33
1,52,0,6,12,3,1,0,747,2018,10,228,33
0,43,2,3,33,0,0,1,166,2017,9,248,32
1,34,3,3,8,2,1,1,225,2013,1,250,34
0,6,1,4,32,2,2,0,677,2023,7,268,36
1,45,4,8,8,0,3,0,471,2020,8,249,34
2,37,4,5,21,3,2,1,58,2022,1,244,35
2,48,3,2,4,2,0,1,1035,2023,7,245,33
0,12,3,2,23,1,1,0,979,2022,9,242,34
1,18,0,3,6,3,0,0,234,2015,9,232,34
1,18,4,7,34,1,0,1,725,2021,5,251,35
0,3,3,9,12,1,2,1,212,2013,2,239,33
1,30,4,4,39,1,0,1,797,2016,12,243,34
1,18,4,4,9,0,1,1,780,2021,4,246,36
2,27,1,4,30,1,3,1,828,2020,9,262,34
1,43,2,7,4,0,2,0,611,2021,6,255,33
0,18,1,7,22,3,0,1,55,2021,4,271,37
0,32,1,4,38,1,3,0,249,2013,6,262,34
3,44,3,8,9,0,1,1,1090,2019,5,257,35
3,38,4,1,4,3,2,0,689,2019,10,241,34
2,44,0,4,24,0,1,0,396,2014,9,243,33
1,19,2,9,29,0,2,0,1032,2015,9,246,32
1,31,4,2,11,2,2,1,490,2018,5,233,33
0,33,4,5,11,3,1,0,945,2019,12,249,34
1,15,2,1,23,1,0,1,891,2022,5,270,35
3,5,2,9,22,1,1,0,36,2020,12,248,33
1,43,4,9,11,3,3,0,1026,2023,9,246,35
0,21,4,6,1,1,1,0,968,2015,6,246,36
2,19,3,7,16,3,1,1,1091,2017,4,234,32
3,35,2,4,1,2,2,1,700,2015,11,248,32
3,43,1,2,32,0,3,1,777,2022,10,268,35
3,7,3,7,14,2,3,0,315,2019,9,239,34
1,47,4,3,3,0,0,0,192,2018,8,238,34
2,46,0,5,28,1,2,1,129,2019,5,234,34
0,3,0,2,29,1,3,1,218,2016,8,237,33
1,19,0,4,38,2,3,1,1069,2022,9,233,34
3,3,3,9,30,1,2,0,324,2019,10,244,34
0,43,1,3,18,1,0,1,61,2018,8,268,36
0,20,4,8,15,0,2,0,764,2020,9,248,34
3,30,4,5,27,1,2,1,227,2021,10,246,35
3,39,4,2,8,3,0,1,576,2017,5,248,34
1,24,2,5,23,1,1,0,748,2021,1,233,31
2,22,1,6,13,2,0,0,643,2021,10,278,37
2,41,2,1,37,1,0,0,841,2020,4,255,33
1,22,3,7,7,0,1,0,49,2014,4,233,33
0,4,2,3,22,2,2,0,315,2015,2,250,35
2,44,0,5,12,3,0,0,464,2013,5,244,34
2,38,4,1,11,3,2,1,818,2016,1,241,34
0,29,4,2,28,3,0,1,609,2014,10,235,33
3,52,2,9,28,3,1,0,848,2019,3,252,35
2,35,0,4,33,3,0,1,823,2022,12,244,34
0,29,3,8,34,2,3,0,888,2013,9,239,33
2,12,2,6,35,3,2,1,680,2016,2,263,34
0,22,1,2,34,1,0,1,836,2013,6,270,36
3,5,1,8,5,0,3,1,756,2013,12,270,36
3,26,1,9,32,2,1,0,64,2013,7,270,36
0,4,4,2,35,2,2,1,330,2019,9,235,33
0,44,0,8,4,2,0,0,984,2023,2,228,33
3,36,1,4,32,0,1,0,127,2020,12,276,36
0,29,3,2,19,2,2,1,632,2020,7,233,33
1,13,2,8,15,0,0,0,849,2014,9,255,33
3,6,3,1,17,3,0,1,491,2022,3,243,33
0,49,3,4,18,0,2,1,222,2019,5,248,34
3,26,0,6,39,1,0,0,56,2023,8,241,34
0,37,4,8,35,1,2,0,736,2017,4,241,35
3,40,3,8,6,1,1,0,662,2020,9,248,35
2,22,4,2,36,0,2,1,769,2018,4,249,34
2,17,4,9,18,2,2,0,204,2018,9,246,35
2,7,4,9,34,2,3,0,530,2014,3,244,35
0,31,3,6,29,2,0,1,616,2018,4,225,31
